objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
504,175878,0,,0,0,0,0,0,0,0,0,0,4,,,,,,29191377,5.93336,6.37308,3.4516,2559,3191,thing,504,2,4,120,120,30,2015,"2,3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
51st State,73369,7.5,2,0,0,0,0,0,0,0,0,0,3,,,,,,23402937,6.40748,6.85521,3.1068,1116,3447,thing,51st State,2,4,90,90,40,2010,"2,3,4","2,3",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
7 Wonders,68448,7.5,15,0,1,0,0,0,0,0,0,0,2,,,,,,11146168,7.6772,7.77181,2.3389,48,95265,thing,7 Wonders,2,7,30,30,30,2010,"3,4,5,6,7","4,5",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
7 Wonders Duel,173346,7,4,0,0,0,0,0,0,0,0,0,3,,,,,,32604845,7.98384,8.11433,2.2234,17,68688,thing,7 Wonders Duel,2,2,30,30,30,2015,2,2,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
7 Wonders: Babel,154638,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,27044330,6.60823,7.10473,2.6379,0,11117,thing,7 Wonders: Babel,2,7,45,45,45,2014,"3,4,5,6,7",5,10+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
7 Wonders: Cities,111661,7.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,27044332,7.50326,7.84696,2.3528,0,23715,thing,7 Wonders: Cities,2,8,40,40,40,2012,"3,4,5,6,7,8","4,5",10+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
7 Wonders: Leaders,92539,7.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,27044333,7.57158,7.83034,2.2792,0,28491,thing,7 Wonders: Leaders,2,7,40,40,40,2011,"3,4,5,6,7",4,10+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
The 7th Continent,180263,5,2,0,0,0,0,0,0,0,0,0,3,,,,,,60205508,8.00085,8.40975,2.8567,16,23242,thing,The 7th Continent,1,4,1000,1000,5,2017,"1,2,3","1,2",10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
A la carte,217,5,3,0,1,1,0,0,0,0,0,0,1,,,,,,19716725,6.1599,6.47405,1.312,1704,3901,thing,A la carte,2,4,30,30,30,1989,"2,3,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Abracada...What?,163930,0,,0,0,0,0,0,0,0,0,0,5,Austin present?,,,,,28861003,6.03305,6.58527,1.6562,2124,1808,thing,Abracada...What?,2,5,30,30,30,2014,"3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Abyss,155987,0,,0,0,0,0,0,0,0,0,0,4,,Got good GenCon pub... check out further.,,,,24442205,7.0187,7.3005,2.3364,341,9950,thing,Abyss,2,4,60,60,30,2014,"2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Acquire,5,4,1,0,0,0,0,0,0,1,0,0,4,,Largely luck based upon the tiles you drawn and lacks any type of catch up mechanism.  The rich just get richer in this game.  Would be a decent family game but falls short as a strategy game.,,,,8073770,7.1771,7.34843,2.5061,237,21788,thing,Acquire,2,6,90,90,90,1964,"3,4,5,6",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Ad Astra,38343,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,11497208,6.43616,6.88171,2.68,1070,2794,thing,Ad Astra,3,5,60,60,60,2009,"3,4,5",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Adrenaline,202408,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,57786994,6.76414,7.14304,2.3021,609,6421,thing,Adrenaline,3,5,60,60,30,2016,"3,4,5","4,5",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Adventurers: The Temple of Chac,43868,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,9863156,6.33087,6.59652,1.6621,1263,5314,thing,The Adventurers: The Temple of Chac,2,6,45,45,45,2009,"2,3,4,5,6","4,5",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Aeroplanes: Aviation Ascendant,119337,7.75,2,0,0,0,0,0,0,0,0,0,4,,,,,,15022155,5.89003,6.62869,2.9359,2789,1106,thing,Aeroplanes: Aviation Ascendant,3,5,120,120,120,2012,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Age of Empires III: The Age of Discovery,22545,0,,0,0,0,0,0,0,0,0,0,4,,,,,,11701492,7.27976,7.55312,3.1278,182,8030,thing,Age of Empires III: The Age of Discovery,2,5,120,120,90,2007,"3,4,5","4,5",12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Age of Industry,65901,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,12120136,6.79196,7.39612,3.3636,579,3242,thing,Age of Industry,2,5,120,120,120,2010,"3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Age of Steam,4098,0,,0,0,0,0,0,0,0,0,0,4,,,,,,8073780,7.3676,7.70118,3.9258,135,7016,thing,Age of Steam,1,6,120,120,120,2002,"3,4,5,6",4,14+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
The Agents,141932,5.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,23851121,5.91638,6.34761,2.3488,2653,2993,thing,The Agents,2,5,40,40,20,2013,"2,3,4,5",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
